Column1,affiliation_id,nama_pt,jml_dokumen_institusi,jml_dokumen_afiliasi_only,jml_author,asal_kota_pt,provinsi_pt,flag,date_in,date_up,user_in,user_up,is_deleted
398,60069432,"
Center for Soil and Agroclimate Research, Bogor
",26,26,9,Bogor,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
411,60069441,"
International Potato Center, Bogor
",22,22,7,Bogor,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
417,60111316,"
Wetlands International, Indonesia
",20,20,10,Bogor,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
429,60159898,"
Sekolah Tinggi Teknologi Muhammadiyah Cileungsi
",16,16,21,Bogor,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
439,60069438,"
Nutrition Research and Development Centre, Bogor
",13,13,3,Bogor,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
453,60087546,"
Balai Penjelidikan dan Pemakaian Karet, Bogor
",8,8,6,Bogor,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
464,60087594,"
Research Institute for Freshwater Fisheries, Bogor
",7,7,2,Bogor,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
465,60112953,"
Sekolah Tinggi Teknologi Industri dan Farmasi Bogor
",7,7,8,Bogor,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
477,60077705,"
Centre for Alleviation of Poverty Through Secondary Crops Development in Asia and the Pacific, Indonesia
",4,4,0,Bogor,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:59,root,root,0
490,60087543,"
National Veterinary Drug Assay Laboratory, Indonesia
",3,3,5,Bogor,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:59,root,root,0
400,60120817,"
STIKes Muhammadiyah Ciamis
",26,26,55,Ciamis,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
302,60117555,"
Universitas Suryakancana
",68,68,62,Cianjur,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
101,60108482,"
Universitas Jenderal Achmad Yani
",437,437,402,Cimahi,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
288,60110774,"
Institut Keguruan dan Ilmu Pendidikan Siliwangi
",76,76,72,Cimahi,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
406,60275595,"
Politeknik TEDC Bandung
",24,24,17,Cimahi,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
274,60106786,"
Institut Agama Islam Negeri Syekh Nurjati Cirebon
",81,81,63,Cirebon,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:54,root,root,0
0,60069377,"
Universitas Indonesia
",31030,30055,17957,Depok,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
87,60105733,"
Gunadarma University
",549,549,479,Depok,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
111,60196805,"
Fakultas Ekonomi dan Bisnis, Universitas Indonesia
",399,399,283,Depok,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
285,60196809,"
Rumah Sakit Universitas Indonesia
",77,77,39,Depok,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
419,60196810,"
Universitas Islam International Indonesia
",19,19,8,Depok,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
438,60189494,"
Politeknik Ilmu Pemasyarakatan
",13,13,5,Depok,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
483,60087561,"
Rumah Sakit Puri Cinere
",4,4,0,Depok,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:59,root,root,0
200,60111272,"
Universitas Garut
",161,161,127,Garut,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
227,60113347,"
Sekolah Tinggi Teknologi Garut
",125,125,62,Garut,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
268,60122612,"
Institut Pendidikan Indonesia
",86,86,89,Garut,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
321,60110253,"
Politeknik Negeri Indramayu
",55,55,40,Indramayu,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:55,root,root,0
340,60272481,"
Universitas Wiralodra
",47,47,27,Indramayu,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:55,root,root,0
162,60171684,"
Universitas Singaperbangsa Karawang
",254,254,223,Karawang,Jawa barat,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
272,60113340,"
Universitas Buana Perjuangan Karawang
",82,82,70,Karawang,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:54,root,root,0
249,60105864,"
Forestry Research and Development Agency
",105,105,34,Kota Bogor,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
314,60122449,"
Universitas Kuningan
",59,59,70,Kuningan,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:55,root,root,0
379,60121128,"
STKIP Muhammadiyah Kuningan
",32,32,20,Kuningan,Jawa Barat,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
225,60112653,"
Nusa Putra University
",130,130,267,Sukabumi,Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
177,60106624,"
Universitas Muhammadiyah Tasikmalaya
",208,208,58,Tasikmalaya,Jawa barat,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
47,60108290,"
UIN Sunan Gunung Djati
",1282,1282,1070,"West Java,",Jawa Barat,1,4/9/2023 11:43,4/9/2023 11:48,root,root,0
437,60114096,"
Universitas Boyolali
",13,13,4,Boyolali,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
386,60112472,"
UNISNU Jepara
",31,31,26,Jepara,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
187,60109556,"
Universitas Muria Kudus
",192,192,141,Kudus,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
300,60112620,"
State Islamic Institute IAIN Kudus
",69,69,58,Kudus,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
186,60110633,"
Muhammadiyah University of Magelang
",192,192,125,Magelang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
412,60109173,"
Universitas Peradaban
",21,21,14,Paguyangan,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
33,60069442,"
Universitas Jenderal Soedirman
",2152,2152,1532,Purwokerto,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
104,60110912,"
Universitas Muhammadiyah Purwokerto
",425,425,335,Purwokerto,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
175,60114126,"
Institut Teknologi Telkom Purwokerto
",210,210,177,Purwokerto,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
221,60109777,"
Universitas AMIKOM Purwokerto
",135,135,111,Purwokerto,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
408,60268832,"
Universitas Harapan Bangsa
",23,23,25,Purwokerto,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
301,60272380,"
Universitas Muhammadiyah Purworejo
",68,68,47,Purworejo,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
65,60069419,"
Satya Wacana Christian University
",828,828,454,Salatiga,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:48,root,root,0
6,60069385,"
Universitas Diponegoro
",11421,11421,7755,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
25,60089125,"
Universitas Negeri Semarang
",2877,2877,2192,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
67,60108631,"
Universitas Dian Nuswantoro
",794,794,539,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:48,root,root,0
89,60104761,"
Universitas Islam Sultan Agung Semarang
",529,529,404,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
133,60113650,"
Soegijapranata Catholic University
",316,316,232,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
146,60108701,"
Universitas PGRI Semarang
",288,288,191,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
151,60105690,"
Universitas Muhammadiyah Semarang
",278,278,233,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
163,60109094,"
Universitas Islam Negeri Walisongo Semarang
",250,250,192,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
195,60114085,"
Universitas Semarang
",173,173,131,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
219,60113201,"
Poltekkes Kemenkes Semarang
",140,140,172,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:52,root,root,0
242,60111071,"
Universitas Wahid Hasyim
",111,111,65,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
264,60109709,"
UNTAG University
",88,88,37,Semarang,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
308,60104568,"
Politeknik Negeri Semarang
",63,63,9,Semarang,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
457,60069418,"
Seroja Rheumatic Center
",8,8,1,Semarang,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
476,60111145,"
Sekolah Tinggi Maritim dan Transpor AMNI
",5,5,2,Semarang,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:59,root,root,0
238,60112553,"
Institut Agama Islam Negeri, Surakarta
",112,112,60,Sukoharjo,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
369,60107866,"
Universitas Veteran Bangun Nusantara Sukoharjo
",36,36,29,Sukoharjo,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
11,60069439,"
Universitas Sebelas Maret
",9294,9294,6493,Surakarta,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
41,60104396,"
Universitas Muhammadiyah Surakarta
",1459,1459,1124,Surakarta,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:48,root,root,0
270,60117811,"
Setia Budi University
",84,84,55,Surakarta,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
307,60273679,"
Universitas Slamet Riyadi
",64,64,42,Surakarta,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
423,60112589,"
Universitas Islam Batik Surakarta
",18,18,16,Surakarta,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
449,60111139,"
Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa
",10,10,8,Surakarta,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
454,60136194,"
Universitas Kristen Surakarta
",8,8,8,Surakarta,Jawa Tengah,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
236,60110565,"
Universitas Pancasakti Tegal
",114,114,82,Tegal,Jawa Tengah,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
297,60110256,"
Politeknik Negeri Banyuwangi
",73,73,70,Banyuwangi,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
401,60116564,"
Universitas 17 Agustus 1945 Banyuwangi
",25,25,16,Banyuwangi,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
466,60087548,"
Taman Nasional Baluran Republik Indonesia
",6,6,4,Banyuwangi,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
470,60117595,"
Sekolah Tinggi Ilmu Komputer PGRI Banyuwangi
",6,6,8,Banyuwangi,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:58,root,root,0
404,60112570,"
IKIP PGRI Bojonegoro
",24,24,13,Bojonegoro,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:57,root,root,0
24,60069412,"
Universitas Jember
",2902,2902,2281,Jember,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
105,60110255,"
Politeknik Negeri Jember
",419,419,343,Jember,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
271,60162057,"
State Islamic Institute of Jember
",84,84,54,Jember,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
283,60110501,"
Universitas Muhammadiyah Jember
",79,79,80,Jember Regency,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:54,root,root,0
357,60113911,"
Universitas Pesantren Tinggi Darul Ulum
",39,39,37,Jombang,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
253,60112412,"
Universitas Nusantara PGRI Kediri
",102,102,95,Kediri,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:53,root,root,0
366,60268852,"
Universitas Muhammadiyah Lamongan
",37,37,36,Lamongan,Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
385,60108648,"
Universitas Islam Darul Ulum Lamongan
",31,31,13,"Lamongan, East Java",Jawa Timur,1,4/9/2023 11:44,4/9/2023 11:56,root,root,0
174,60117654,"
Universitas PGRI Madiun
",217,217,133,Madiun,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
83,60122051,"
Universitas Trunojoyo Madura
",622,622,430,Madura,Jawa TImur,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
7,60069392,"
Brawijaya University
",10367,10367,7139,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
16,60104775,"
Universitas Negeri Malang
",5150,5150,3602,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:47,root,root,0
54,60087597,"
Universitas Muhammadiyah Malang
",1138,1138,919,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:48,root,root,0
75,60104628,"
State Polytechnic of Malang
",656,656,540,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
78,60104919,"
State Islamic University of Malang
",648,648,497,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:49,root,root,0
136,60070691,"
National Institute of Technology ITN Malang
",310,310,183,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:50,root,root,0
159,60104921,"
Universitas Islam Malang
",263,263,159,Malang,Jawa Timur,1,4/9/2023 11:43,4/9/2023 11:51,root,root,0
